"Темп/Ветер",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-15,"","","","","","","","","","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-16,"","","","","","","","","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-17,"","","","","","","","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-18,"","","","","","","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-19,"","","","","","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-20,"","","","","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-21,"","","","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-22,"","","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-23,"","","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-24,"","","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-25,"","","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-26,"","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-27,"1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-28,"1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-29,"1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-30,"1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4","1-4"
-31,"1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5"
-32,"1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5","1-5"
-33,"1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6","1-6"
-34,"1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7","1-7"
-35,"1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8","1-8"
-36,"1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9","1-9"
-37,"1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11"
-38,"1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11"
-39,"1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11"
-40,"1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11"
-41,"1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11"
-42,"1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11","1-11"
